time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2022-06-17 10:00:00,21125.51,20824.21,20952.58,1102.65,23104916.45,21090.43,direct,
2022-06-17 11:00:00,21194.34,20935.93,21090.43,1131.47,23869406.68,20956.22,direct,
2022-06-17 12:00:00,21020.97,20574.08,20956.22,2167.28,45077710.1,20621.13,direct,
2022-06-17 13:00:00,20879.23,20546.91,20621.13,5830.71,120758858.86,20775.44,direct,
2022-06-17 14:00:00,20780.14,20367.98,20775.44,5425.28,111336947.35,20529.39,direct,
2022-06-17 15:00:00,20704.42,20497.25,20529.39,5309.5,109273435.77,20636.42,direct,
2022-06-17 16:00:00,20750.63,20503.33,20636.42,4877.91,100655913.17,20543.12,direct,
2022-06-17 17:00:00,20670.33,20488.06,20543.12,4249.37,87351435.96,20546.88,direct,
2022-06-17 18:00:00,20613.48,20442.44,20546.88,3878.37,79606656.19,20477.95,direct,
2022-06-17 19:00:00,20504.81,20409.95,20477.95,2644.25,54113657.21,20490.43,direct,
2022-06-17 20:00:00,20679.19,20483.06,20490.43,3276.8,67465397.62,20617.0,direct,
2022-06-17 21:00:00,20646.88,20483.7,20617.0,1650.89,33918772.63,20522.51,direct,
2022-06-17 22:00:00,20561.99,20340.74,20522.51,2340.97,47872320.74,20416.59,direct,
2022-06-17 23:00:00,20505.84,20392.7,20416.59,1323.74,27077444.07,20432.26,direct,
2022-06-18 00:00:00,20722.69,20408.91,20432.26,2874.19,59160301.92,20524.06,direct,
2022-06-18 01:00:00,20550.81,20336.9,20524.06,1628.62,33293962.54,20358.05,direct,
2022-06-18 02:00:00,20470.57,20284.56,20358.05,1711.75,34895975.61,20431.81,direct,
2022-06-18 03:00:00,20444.94,20343.48,20431.81,1129.4,23031991.29,20417.61,direct,
2022-06-18 04:00:00,20450.42,20358.07,20417.61,969.48,19794343.98,20448.24,direct,
2022-06-18 05:00:00,20492.84,20357.8,20448.24,788.11,16082583.62,20380.44,direct,
2022-06-18 06:00:00,20408.25,19266.68,20380.44,9618.17,189631662.53,19343.14,direct,
2022-06-18 07:00:00,19526.44,19052.18,19343.14,6754.51,130186246.4,19225.87,direct,
2022-06-18 08:00:00,19332.06,18759.33,19225.87,7134.99,135646643.27,18977.77,direct,
2022-06-18 09:00:00,19175.45,18866.74,18977.77,2237.4,42595657.77,19143.9,direct,
2022-06-18 10:00:00,19503.55,19123.4,19143.9,2719.61,52564207.51,19374.3,direct,
